reference_id,intended_claim,doi,url,crossref_status,crossref_source,verified_title,verified_authors,verified_year,verified_journal,doi_landing_status,doi_landing_url,claim_evidence_level,claim_evidence_url,claim_evidence_locator,verbatim_supporting_excerpt,claim_keyword_hits,semantic_scope_note,semantic_review_status,audit_status
R11,"OpenSense is an open-source IMU kinematics workflow that makes calibration, sensor fusion, and optical validation explicit.",10.1186/s12984-022-01001-x,https://doi.org/10.1186/s12984-022-01001-x,PASS,archived previously verified Crossref metadata,OpenSense: An open-source toolbox for inertial-measurement-unit-based measurement of lower extremity kinematics over long durations,"Al Borno, Mazen; O’Day, Johanna; Ibarra, Vanessa; Dunne, James; Seth, Ajay; Habib, Ayman; Ong, Carmichael; Hicks, Jennifer; Uhlrich, Scott; Delp, Scott",2022,Journal of NeuroEngineering and Rehabilitation,200,https://link.springer.com/article/10.1186/s12984-022-01001-x?error=cookies_not_supported&code=d6420db9-36f3-4af2-b82f-efed23aa8f4a,Crossref abstract fallback,https://api.crossref.org/works/10.1186/s12984-022-01001-x,Crossref abstract,"Abstract Background The ability to measure joint kinematics in natural environments over long durations using inertial measurement units (IMUs) could enable at-home monitoring and personalized treatment of neurological and musculoskeletal disorders. However, drift, or the accumulation of error over time, inhibits the accurate measurement of movement over long durations. We sought to develop an open-source workflow to estimate lower extremity joint kinematics from IMU data that was accurate and capable of assessing and mitigating drift. Methods We computed IMU-based estimates of kinematics using sensor fusion and an inverse kinematics approach with a constrained biomechanical model. We measured kinematics for 11 subjects as they performed two 10-min trials: walking and a repeated sequence of varied lower-extremity movements. To validate the approach, we compared the joint angles computed ",open-source|kinematics,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R12,Windowed feature representation materially affects IMU activity classification.,10.3390/s18092892,https://doi.org/10.3390/s18092892,PASS,archived previously verified Crossref metadata,Feature Representation and Data Augmentation for Human Activity Classification Based on Wearable IMU Sensor Data Using a Deep LSTM Neural Network,"Steven Eyobu, Odongo; Han, Dong Seog",2018,Sensors,403,https://www.mdpi.com/1424-8220/18/9/2892,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6165524/fullTextXML,"PMC6165524, section: 3. Proposed Approach","This study is based on the paradigm illustrated by Figure 1 . The contributions in this study are in the feature extraction block and data augmentation block. In the feature extraction block, the short Fourier transform (STFT) is used as a tool to generate a spectrogram from which the spectral information is extracted. The STFT is performed on IMU sensor raw data generated in a time window period of 3 s and later on its subsequent time overlaps. The spectral information is shaped as a vector which is reduced in length by sorting and extracting a set of defined least and greatest values hence forming the data abstraction. The manipulation to reduce on the size of the spectral information is motivated by the fact that large input feature vectors cause a long training time for a deep learning system compared to shorter feature vectors. The manipulated spectral feature vectors are finally us",window|feature,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R13,Different time- and frequency-domain feature sets can change HAR performance.,10.3390/s18124189,https://doi.org/10.3390/s18124189,PASS,archived previously verified Crossref metadata,Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors,"Rosati, Samanta; Balestra, Gabriella; Knaflitz, Marco",2018,Sensors,403,https://www.mdpi.com/1424-8220/18/12/4189,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6308535/fullTextXML,"PMC6308535, section: Abstract","Human Activity Recognition (HAR) refers to an emerging area of interest for medical, military, and security applications. However, the identification of the features to be used for activity classification and recognition is still an open point. The aim of this study was to compare two different feature sets for HAR. Particularly, we compared a set including time, frequency, and time-frequency domain features widely used in literature ( FeatSet_A ) with a set of time-domain features derived by considering the physical meaning of the acquired signals ( FeatSet_B ). The comparison of the two sets were based on the performances obtained using four machine learning classifiers. Sixty-one healthy subjects were asked to perform seven different daily activities wearing a MIMU-based device. Each signal was segmented using a 5-s window and for each window, 222 and 221 variables were extracted for ",features|classification,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R14,Lab Streaming Layer synchronizes software streams using per-sample timestamps and network offset and jitter correction.,10.1162/imag.a.136,https://doi.org/10.1162/imag.a.136,PASS,archived previously verified Crossref metadata,The lab streaming layer for synchronized multimodal recording,"Kothe, Christian; Shirazi, Seyed Yahya; Stenner, Tristan; Medine, David; Boulay, Chadwick; Grivich, Matthew I.; Artoni, Fiorenzo; Mullen, Tim; Delorme, Arnaud; Makeig, Scott",2025,Imaging Neuroscience,403,https://direct.mit.edu/imag/article/doi/10.1162/IMAG.a.136/132678/The-lab-streaming-layer-for-synchronized,Crossref abstract fallback,https://api.crossref.org/works/10.1162/imag.a.136,Crossref abstract,"Abstract Accurately recording the interactions of humans or other organisms with their environment and other agents requires synchronized data access via multiple instruments, often running independently using different clocks. Active, hardware-mediated solutions are often infeasible or prohibitively costly to build and run across arbitrary collections of input systems. The Lab Streaming Layer (LSL) framework offers a software-based approach to synchronizing data streams based on per-sample time stamps and time synchronization across a common local area network (LAN). Built from the ground up for neurophysiological applications and designed for reliability, LSL offers zero-configuration functionality and accounts for network delays and jitters, making connection recovery, offset correction, and jitter compensation possible. These features can ensure continuous, millisecond-precise data r",time stamps|synchronizing,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R15,IMU-HAR research includes sample-level data valuation within supervised model training.,10.3390/s23010184,https://doi.org/10.3390/s23010184,PASS,archived previously verified Crossref metadata,Data Valuation Algorithm for Inertial Measurement Unit-Based Human Activity Recognition,"Kim, Yeon-Wook; Lee, Sangmin",2023,Sensors,403,https://www.mdpi.com/1424-8220/23/1/184,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9823777/fullTextXML,"PMC9823777, section: Abstract","This paper proposes a data valuation algorithm for inertial measurement unit-based human activity recognition (IMU-based HAR) data based on meta reinforcement learning. Unlike previous studies that received feature-level input, the algorithm in this study added a feature extraction structure to the data valuation algorithm, and it can receive raw-level inputs and achieve excellent performance. As IMU-based HAR data are multivariate time-series data, the proposed algorithm incorporates an architecture capable of extracting both local and global features by inserting a transformer encoder after the one-dimensional convolutional neural network (1D-CNN) backbone in the data value estimator. In addition, the 1D-CNN-based stacking ensemble structure, which exhibits excellent efficiency and performance on IMU-based HAR data, is used as a predictor to supervise model training. The Berg balance s",data valuation|training,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R16,Data quality and reliability checks are necessary before downstream activity recognition.,10.3390/s20185264,https://doi.org/10.3390/s20185264,PASS,archived previously verified Crossref metadata,Data Quality and Reliability Assessment of Wearable EMG and IMU Sensor for Construction Activity Recognition,"Bangaru, Srikanth Sagar; Wang, Chao; Aghazadeh, Fereydoun",2020,Sensors,403,https://www.mdpi.com/1424-8220/20/18/5264,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7570501/fullTextXML,"PMC7570501, section: Abstract","The workforce shortage is one of the significant problems in the construction industry. To overcome the challenges due to workforce shortage, various researchers have proposed wearable sensor-based systems in the area of construction safety and health. Although sensors provide rich and detailed information, not all sensors can be used for construction applications. This study evaluates the data quality and reliability of forearm electromyography (EMG) and inertial measurement unit (IMU) of armband sensors for construction activity classification. To achieve the proposed objective, the forearm EMG and IMU data collected from eight participants while performing construction activities such as screwing, wrenching, lifting, and carrying on two different days were used to analyze the data quality and reliability for activity recognition through seven different experiments. The results of thes",data quality|reliability,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R17,IMU fusion algorithms differ in functional and implementation properties.,10.3390/s21082747,https://doi.org/10.3390/s21082747,PASS,archived previously verified Crossref metadata,On the Functional and Extra-Functional Properties of IMU Fusion Algorithms for Body-Worn Smart Sensors,"Büscher, Nils; Gis, Daniel; Kühn, Volker; Haubelt, Christian",2021,Sensors,403,https://www.mdpi.com/1424-8220/21/8/2747,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8069451/fullTextXML,"PMC8069451, section: Abstract","In this work, four sensor fusion algorithms for inertial measurement unit data to determine the orientation of a device are assessed regarding their usability in a hardware restricted environment such as body-worn sensor nodes. The assessment is done for both the functional and the extra-functional properties in the context of human operated devices. The four algorithms are implemented in three data formats: 32-bit floating-point, 32-bit fixed-point and 16-bit fixed-point and compared regarding code size, computational effort, and fusion quality. Code size and computational effort are evaluated on an ARM Cortex M0+. For the assessment of the functional properties, the sensor fusion output is compared to a camera generated reference and analyzed in an extensive statistical analysis to determine how data format, algorithm, and human interaction influence the quality of the sensor fusion. O",fusion|algorithm,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R18,Comparing IMU orientation with motion capture requires explicit frame alignment.,10.3390/s18114003,https://doi.org/10.3390/s18114003,PASS,archived previously verified Crossref metadata,Quaternion-Based Local Frame Alignment between an Inertial Measurement Unit and a Motion Capture System,"Lee, Jung Keun; Jung, Woo Chang",2018,Sensors,403,https://www.mdpi.com/1424-8220/18/11/4003,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6263645/fullTextXML,"PMC6263645, section: Abstract","Local frame alignment between an inertial measurement unit (IMU) system and an optical motion capture system (MCS) is necessary to combine the two systems for motion analysis and to validate the accuracy of IMU-based motion data by using references obtained through the MCS. In this study, we propose a new quaternion-based local frame alignment method where equations of angular velocity transformation are used to determine the frame alignment orientation in the form of quaternion. The performance of the proposed method was compared with those of three other methods by using data with different angular velocities, noises, and alignment orientations. Furthermore, the effects of the following three factors on the estimation performance were investigated for the first time: (i) transformation concept, i.e., angular velocity transformation vs. angle transformation; (ii) orientation representat",alignment|motion capture,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R19,"Joint-angle derivation from IMUs depends on calibration, fusion, and anatomical alignment.",10.3390/s23146535,https://doi.org/10.3390/s23146535,PASS,archived previously verified Crossref metadata,Conversion of Upper-Limb Inertial Measurement Unit Data to Joint Angles: A Systematic Review,"Fang, Zhou; Woodford, Sarah; Senanayake, Damith; Ackland, David",2023,Sensors,403,https://www.mdpi.com/1424-8220/23/14/6535,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10386307/fullTextXML,"PMC10386307, section: Abstract","Inertial measurement units (IMUs) have become the mainstay in human motion evaluation outside of the laboratory; however, quantification of 3-dimensional upper limb motion using IMUs remains challenging. The objective of this systematic review is twofold. Firstly, to evaluate computational methods used to convert IMU data to joint angles in the upper limb, including for the scapulothoracic, humerothoracic, glenohumeral, and elbow joints; and secondly, to quantify the accuracy of these approaches when compared to optoelectronic motion analysis. Fifty-two studies were included. Maximum joint motion measurement accuracy from IMUs was achieved using Euler angle decomposition and Kalman-based filters. This resulted in differences between IMU and optoelectronic motion analysis of 4 ° across all degrees of freedom of humerothoracic movement. Higher accuracy has been achieved at the elbow joint ",joint angle,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R20,Low-cost attitude estimation depends on filtering and sensor-model assumptions.,10.3390/mi13081283,https://doi.org/10.3390/mi13081283,PASS,archived previously verified Crossref metadata,Research on Gradient-Descent Extended Kalman Attitude Estimation Method for Low-Cost MARG,"Liu, Ning; Qi, Wenhao; Su, Zhong; Feng, Qunzhuo; Yuan, Chaojie",2022,Micromachines,403,https://www.mdpi.com/2072-666X/13/8/1283,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9414539/fullTextXML,"PMC9414539, section: Abstract","Aiming at the problem of the weak dynamic performance of the gradient descent method in the attitude and heading reference system, the susceptibility to the interference of accelerometers and magnetometers, and the complex calculation of the nonlinear Kalman Filter method, an extended Kalman filter suitable for a low-cost magnetic, angular rate, and gravity (MARG) sensor system is proposed. The method proposed in this paper is a combination of a two-stage gradient descent algorithm and the extended Kalman filter (GDEKF). First, the accelerometer and magnetometer are used to correct the attitude angle according to the two-stage gradient descent algorithm. The obtained attitude quaternion is combined with the gyroscope measurement value as the observation vector of EKF and the calculated attitude of the gyroscope and the bias of the gyroscope are corrected. The elimination of the bias of t",attitude|low-cost,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R21,Low-cost IMUs may require device-specific calibration.,10.3389/frobt.2021.772583,https://doi.org/10.3389/frobt.2021.772583,PASS,archived previously verified Crossref metadata,Calib-Net: Calibrating the Low-Cost IMU via Deep Convolutional Neural Network,"Li, Ruihao; Fu, Chunlian; Yi, Wei; Yi, Xiaodong",2022,Frontiers in Robotics and AI,200,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2021.772583/full,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8762311/fullTextXML,"PMC8762311, section: Abstract","The low-cost Inertial Measurement Unit (IMU) can provide orientation information and is widely used in our daily life. However, IMUs with bad calibration will provide inaccurate angular velocity and lead to rapid drift of integral orientation in a short time. In this paper, we present the Calib-Net which can achieve the accurate calibration of low-cost IMU via a simple deep convolutional neural network. Following a carefully designed mathematical calibration model, Calib-Net can output compensation components for gyroscope measurements dynamically. Dilation convolution is adopted in Calib-Net for spatio-temporal feature extraction of IMU measurements. We evaluate our proposed system on public datasets quantitively and qualitatively. The experimental results demonstrate that our Calib-Net achieves better calibration performance than other methods, what is more, and the estimated orientati",calibration|low-cost,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R22,Low-cost IMU motion-capture workflows trade deployment simplicity against measurement constraints.,10.3390/s24020686,https://doi.org/10.3390/s24020686,PASS,archived previously verified Crossref metadata,A Low-Cost Inertial Measurement Unit Motion Capture System for Operation Posture Collection and Recognition,"Yin, Mingyue; Li, Jianguang; Wang, Tiancong",2024,Sensors,403,https://www.mdpi.com/1424-8220/24/2/686,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11154322/fullTextXML,"PMC11154322, section: Abstract","In factories, human posture recognition facilitates human–machine collaboration, human risk management, and workflow improvement. Compared to optical sensors, inertial sensors have the advantages of portability and resistance to obstruction, making them suitable for factories. However, existing product-level inertial sensing solutions are generally expensive. This paper proposes a low-cost human motion capture system based on BMI 160, a type of six-axis inertial measurement unit (IMU). Based on WIFI communication, the collected data are processed to obtain the displacement of human joints’ rotation angles around XYZ directions and the displacement in XYZ directions, then the human skeleton hierarchical relationship was combined to calculate the real-time human posture. Furthermore, the digital human model was been established on Unity3D to synchronously visualize and present human moveme",low-cost|motion capture,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
